id,name,date,metric_name,metric_value,yeast_type
66,Tokyo Rising Sun - Lowland,2009-06-01,ibu,85,Ale
66,Tokyo Rising Sun - Lowland,2009-06-01,srm,71,Ale
66,Tokyo Rising Sun - Lowland,2009-06-01,ph,4.4,Ale
66,Tokyo Rising Sun - Lowland,2009-06-01,target_fg,1023,Ale
67,Hunter Foundation Pale Ale,2012-05-01,abv,5.4,Ale
67,Hunter Foundation Pale Ale,2012-05-01,ibu,35,Ale
67,Hunter Foundation Pale Ale,2012-05-01,srm,5.75,Ale
67,Hunter Foundation Pale Ale,2012-05-01,ph,4.4,Ale
67,Hunter Foundation Pale Ale,2012-05-01,target_fg,1008,Ale
68,Hype,2007-08-01,abv,4.1,Ale
68,Hype,2007-08-01,ibu,65,Ale
68,Hype,2007-08-01,srm,8.5,Ale
68,Hype,2007-08-01,ph,4.4,Ale
68,Hype,2007-08-01,target_fg,1010,Ale
69,AB:16,2014-02-01,abv,10.6,Other
69,AB:16,2014-02-01,ibu,55,Other
69,AB:16,2014-02-01,srm,15,Other
69,AB:16,2014-02-01,ph,4.4,Other
69,AB:16,2014-02-01,target_fg,1012,Other
70,Sunmaid Stout,2011-12-01,abv,10.2,Ale
70,Sunmaid Stout,2011-12-01,ibu,50,Ale
70,Sunmaid Stout,2011-12-01,srm,100,Ale
70,Sunmaid Stout,2011-12-01,ph,4.4,Ale
70,Sunmaid Stout,2011-12-01,target_fg,1102,Ale
71,Pale - Russian Doll,2014-08-01,abv,4,Ale
71,Pale - Russian Doll,2014-08-01,ibu,35,Ale
71,Pale - Russian Doll,2014-08-01,srm,22.5,Ale
71,Pale - Russian Doll,2014-08-01,ph,5.2,Ale
71,Pale - Russian Doll,2014-08-01,target_fg,1010,Ale
72,Whisky Sour - B-Sides,2015-03-01,abv,7,Ale
72,Whisky Sour - B-Sides,2015-03-01,ibu,20,Ale
72,Whisky Sour - B-Sides,2015-03-01,srm,6,Ale
72,Whisky Sour - B-Sides,2015-03-01,ph,3.2,Ale
72,Whisky Sour - B-Sides,2015-03-01,target_fg,1021,Ale
73,Black Eyed King Imp - Vietnamese Coffee Edition,2014-12-01,abv,12.7,Ale
73,Black Eyed King Imp - Vietnamese Coffee Edition,2014-12-01,ibu,85,Ale
73,Black Eyed King Imp - Vietnamese Coffee Edition,2014-12-01,srm,125,Ale
73,Black Eyed King Imp - Vietnamese Coffee Edition,2014-12-01,ph,5.2,Ale
73,Black Eyed King Imp - Vietnamese Coffee Edition,2014-12-01,target_fg,1038,Ale
74,Eurotrash,2009-10-01,abv,4.1,Other
74,Eurotrash,2009-10-01,ibu,52,Other
74,Eurotrash,2009-10-01,srm,8.5,Other
74,Eurotrash,2009-10-01,ph,5.2,Other
74,Eurotrash,2009-10-01,target_fg,1010,Other
75,Never Mind The Anabolics,2012-06-01,abv,6.5,Ale
75,Never Mind The Anabolics,2012-06-01,ibu,35,Ale
75,Never Mind The Anabolics,2012-06-01,srm,11.5,Ale
75,Never Mind The Anabolics,2012-06-01,ph,4.4,Ale
75,Never Mind The Anabolics,2012-06-01,target_fg,1012,Ale
76,#Mashtag 2013,2013-05-01,abv,7.5,Ale
76,#Mashtag 2013,2013-05-01,ibu,50,Ale
76,#Mashtag 2013,2013-05-01,srm,20,Ale
76,#Mashtag 2013,2013-05-01,ph,4.4,Ale
76,#Mashtag 2013,2013-05-01,target_fg,1013,Ale
77,Hobo Pop,2013-11-01,abv,4.2,Ale
77,Hobo Pop,2013-11-01,ibu,50,Ale
77,Hobo Pop,2013-11-01,srm,15,Ale
77,Hobo Pop,2013-11-01,ph,4.4,Ale
77,Hobo Pop,2013-11-01,target_fg,1010,Ale
78,AB:18,2011-10-01,abv,11.8,Ale
78,AB:18,2011-10-01,ibu,80,Ale
78,AB:18,2011-10-01,srm,57.5,Ale
78,AB:18,2011-10-01,ph,5.2,Ale
78,AB:18,2011-10-01,target_fg,1020,Ale
79,Hops Kill Nazis,2011-08-01,abv,7.6,Ale
79,Hops Kill Nazis,2011-08-01,ibu,70,Ale
79,Hops Kill Nazis,2011-08-01,srm,29.5,Ale
79,Hops Kill Nazis,2011-08-01,ph,4.4,Ale
79,Hops Kill Nazis,2011-08-01,target_fg,1015,Ale
80,AB:04,2010-08-01,abv,15,Ale
80,AB:04,2010-08-01,ibu,80,Ale
80,AB:04,2010-08-01,srm,200,Ale
80,AB:04,2010-08-01,ph,4,Ale
80,AB:04,2010-08-01,target_fg,1018,Ale
81,India Session Lager - Prototype Challenge,2015-11-01,abv,4.4,Lager
81,India Session Lager - Prototype Challenge,2015-11-01,ibu,35,Lager
81,India Session Lager - Prototype Challenge,2015-11-01,srm,6,Lager
81,India Session Lager - Prototype Challenge,2015-11-01,ph,4.4,Lager
81,India Session Lager - Prototype Challenge,2015-11-01,target_fg,1007,Lager
82,Hopped-Up Brown Ale - Prototype Challenge,2016-01-01,abv,6.3,Ale
82,Hopped-Up Brown Ale - Prototype Challenge,2016-01-01,ibu,85,Ale
82,Hopped-Up Brown Ale - Prototype Challenge,2016-01-01,srm,12,Ale
82,Hopped-Up Brown Ale - Prototype Challenge,2016-01-01,ph,4.2,Ale
82,Hopped-Up Brown Ale - Prototype Challenge,2016-01-01,target_fg,1015,Ale
83,Comet,2014-02-01,abv,7.2,Ale
83,Comet,2014-02-01,ibu,70,Ale
83,Comet,2014-02-01,srm,15,Ale
83,Comet,2014-02-01,ph,4.4,Ale
83,Comet,2014-02-01,target_fg,1012,Ale
84,Baby Saison - B-Sides,2015-08-01,abv,3.6,Other
84,Baby Saison - B-Sides,2015-08-01,ibu,9,Other
84,Baby Saison - B-Sides,2015-08-01,srm,1,Other
84,Baby Saison - B-Sides,2015-08-01,ph,4.4,Other
84,Baby Saison - B-Sides,2015-08-01,target_fg,1004,Other
85,Santa Paws,2010-10-01,abv,4.5,Ale
85,Santa Paws,2010-10-01,ibu,35,Ale
85,Santa Paws,2010-10-01,srm,22,Ale
85,Santa Paws,2010-10-01,ph,4.4,Ale
85,Santa Paws,2010-10-01,target_fg,1013,Ale
86,Original Dogma (Née Speedball),2008-07-01,abv,7.8,Ale
86,Original Dogma (Née Speedball),2008-07-01,ibu,60,Ale
86,Original Dogma (Née Speedball),2008-07-01,srm,15.5,Ale
86,Original Dogma (Née Speedball),2008-07-01,ph,4.3,Ale
86,Original Dogma (Née Speedball),2008-07-01,target_fg,1012,Ale
87,Alpha Pop,2014-03-01,abv,4.5,Ale
87,Alpha Pop,2014-03-01,ibu,30,Ale
87,Alpha Pop,2014-03-01,srm,12.5,Ale
87,Alpha Pop,2014-03-01,ph,4.4,Ale
87,Alpha Pop,2014-03-01,target_fg,1011,Ale
88,Bavarian Weizen,2013-09-01,abv,6.3,Other
88,Bavarian Weizen,2013-09-01,ibu,55,Other
88,Bavarian Weizen,2013-09-01,srm,15,Other
88,Bavarian Weizen,2013-09-01,ph,4.4,Other
88,Bavarian Weizen,2013-09-01,target_fg,1012,Other
89,Citra,2011-01-01,abv,7.5,Ale
89,Citra,2011-01-01,ibu,70,Ale
89,Citra,2011-01-01,srm,15,Ale
89,Citra,2011-01-01,ph,4.4,Ale
89,Citra,2011-01-01,target_fg,1013,Ale
90,#Mashtag 2015,2015-05-01,abv,10,Ale
90,#Mashtag 2015,2015-05-01,ibu,85,Ale
90,#Mashtag 2015,2015-05-01,srm,65,Ale
90,#Mashtag 2015,2015-05-01,ph,4.4,Ale
90,#Mashtag 2015,2015-05-01,target_fg,1020,Ale
91,Dead Pony Club,2012-03-01,abv,3.8,Ale
91,Dead Pony Club,2012-03-01,ibu,35,Ale
91,Dead Pony Club,2012-03-01,srm,12.7,Ale
91,Dead Pony Club,2012-03-01,ph,4.4,Ale
91,Dead Pony Club,2012-03-01,target_fg,1012,Ale
92,AB:09,2010-11-01,abv,11.6,Other
92,AB:09,2010-11-01,ibu,77,Other
92,AB:09,2010-11-01,srm,132.5,Other
92,AB:09,2010-11-01,ph,5.2,Other
92,AB:09,2010-11-01,target_fg,1022,Other
93,Mango Gose - B-Sides,2015-07-01,abv,6.4,Ale
93,Mango Gose - B-Sides,2015-07-01,ibu,40,Ale
93,Mango Gose - B-Sides,2015-07-01,srm,5,Ale
93,Mango Gose - B-Sides,2015-07-01,ph,3.5,Ale
93,Mango Gose - B-Sides,2015-07-01,target_fg,1000,Ale
94,Everday Anarchy,2013-06-01,abv,10.5,Other
94,Everday Anarchy,2013-06-01,ibu,45,Other
94,Everday Anarchy,2013-06-01,srm,7.5,Other
94,Everday Anarchy,2013-06-01,ph,4.4,Other
94,Everday Anarchy,2013-06-01,target_fg,1005,Other
95,Peroxide Punk,2007-04-01,abv,4,Ale
95,Peroxide Punk,2007-04-01,ibu,40,Ale
95,Peroxide Punk,2007-04-01,srm,9,Ale
95,Peroxide Punk,2007-04-01,ph,4.4,Ale
